,label
EPI_ISL_402124,0
EPI_ISL_544764,1
EPI_ISL_450788,1
EPI_ISL_472362,1
g,1
EPI_ISL_456977,1
EPI_ISL_425127,1
EPI_ISL_556147,1
EPI_ISL_484713,1
EPI_ISL_469641,1
EPI_ISL_480654,0
EPI_ISL_477811,1
EPI_ISL_533042,1
EPI_ISL_548651,1
EPI_ISL_507951,1
EPI_ISL_564684,1
EPI_ISL_509443,1
EPI_ISL_528932,1
EPI_ISL_434155,1
EPI_ISL_518708,1
EPI_ISL_543085,1
EPI_ISL_535973,1
EPI_ISL_517105,0
EPI_ISL_565258,0
EPI_ISL_486273,1
EPI_ISL_532066,1
w,1
EPI_ISL_491419,0
EPI_ISL_433396,1
EPI_ISL_551585,1
EPI_ISL_519578,1
EPI_ISL_521208,1
EPI_ISL_480354,1
EPI_ISL_474249,1
EPI_ISL_429048,0
EPI_ISL_455375,1
EPI_ISL_457209,1
EPI_ISL_479766,1
EPI_ISL_494373,1
EPI_ISL_496185,1
EPI_ISL_477095,1
EPI_ISL_431084,0
EPI_ISL_468722,1
EPI_ISL_547369,1
EPI_ISL_537320,1
EPI_ISL_519897,1
EPI_ISL_488770,0
EPI_ISL_480755,1
EPI_ISL_451997,1
EPI_ISL_482476,1
EPI_ISL_431975,1
EPI_ISL_489688,1
EPI_ISL_464430,0
EPI_ISL_486094,1
EPI_ISL_484133,0
EPI_ISL_542292,0
EPI_ISL_518920,1
EPI_ISL_545423,1
EPI_ISL_524804,1
EPI_ISL_483708,1
EPI_ISL_465692,1
EPI_ISL_555168,1
EPI_ISL_551012,1
EPI_ISL_446300,1
EPI_ISL_465445,1
EPI_ISL_526819,0
EPI_ISL_440165,1
EPI_ISL_548438,1
EPI_ISL_435062,1
g,1
EPI_ISL_487106,1
EPI_ISL_430969,1
EPI_ISL_462952,1
EPI_ISL_566255,1
EPI_ISL_510747,1
EPI_ISL_544465,1
EPI_ISL_528287,1
EPI_ISL_497501,1
EPI_ISL_510731,1
EPI_ISL_561614,0
EPI_ISL_492430,1
EPI_ISL_461090,1
EPI_ISL_511371,1
EPI_ISL_497164,1
EPI_ISL_549683,1
EPI_ISL_426626,1
EPI_ISL_518402,1
EPI_ISL_492040,1
EPI_ISL_516861,1
EPI_ISL_440833,1
EPI_ISL_568467,1
EPI_ISL_434830,1
EPI_ISL_538681,0
EPI_ISL_530235,1
EPI_ISL_556327,1
EPI_ISL_470192,1
EPI_ISL_550677,0
EPI_ISL_523797,1
EPI_ISL_447241,1
EPI_ISL_533258,1
EPI_ISL_424962,0
EPI_ISL_508454,1
EPI_ISL_475643,1
EPI_ISL_463132,1
EPI_ISL_508164,1
EPI_ISL_528443,1
EPI_ISL_490562,1
EPI_ISL_472433,1
EPI_ISL_420053,1
EPI_ISL_477944,1
EPI_ISL_547416,1
EPI_ISL_491429,1
EPI_ISL_511009,0
EPI_ISL_564993,1
EPI_ISL_463335,1
EPI_ISL_493338,1
EPI_ISL_418947,1
h,1
EPI_ISL_438475,0
EPI_ISL_557698,0
EPI_ISL_471226,1
EPI_ISL_531736,1
EPI_ISL_519283,1
EPI_ISL_535979,0
EPI_ISL_441955,1
EPI_ISL_424597,0
EPI_ISL_559730,0
EPI_ISL_556484,1
EPI_ISL_445606,1
EPI_ISL_509392,1
EPI_ISL_551600,1
EPI_ISL_524768,1
EPI_ISL_495445,1
EPI_ISL_499347,1
EPI_ISL_543075,1
EPI_ISL_516291,1
EPI_ISL_521709,1
EPI_ISL_423955,1
EPI_ISL_473915,1
EPI_ISL_537439,1
EPI_ISL_528317,1
EPI_ISL_519608,1
EPI_ISL_416373,0
EPI_ISL_463088,1
EPI_ISL_538764,1
EPI_ISL_458790,0
EPI_ISL_538282,1
EPI_ISL_441547,1
EPI_ISL_555164,1
EPI_ISL_550615,1
EPI_ISL_418001,1
EPI_ISL_453720,1
EPI_ISL_530955,1
EPI_ISL_525266,1
EPI_ISL_520788,1
EPI_ISL_430700,1
EPI_ISL_420163,0
EPI_ISL_485303,0
EPI_ISL_483394,1
EPI_ISL_527980,1
EPI_ISL_546058,0
h,1
EPI_ISL_433447,1
EPI_ISL_488574,1
EPI_ISL_539507,1
EPI_ISL_523360,1
EPI_ISL_432502,0
EPI_ISL_470332,1
EPI_ISL_464274,1
EPI_ISL_495636,1
EPI_ISL_442338,1
EPI_ISL_495162,1
EPI_ISL_441769,1
EPI_ISL_432475,1
EPI_ISL_485834,1
EPI_ISL_540629,1
h,1
EPI_ISL_435427,1
EPI_ISL_488132,1
EPI_ISL_463280,1
EPI_ISL_469063,1
EPI_ISL_511108,1
EPI_ISL_548427,0
EPI_ISL_562686,1
EPI_ISL_551703,1
EPI_ISL_520341,1
EPI_ISL_558596,1
EPI_ISL_449858,1
EPI_ISL_496266,1
EPI_ISL_552497,0
EPI_ISL_514574,1
EPI_ISL_446140,1
EPI_ISL_434843,1
EPI_ISL_497095,1
EPI_ISL_563787,1
EPI_ISL_459413,1
EPI_ISL_525041,1
EPI_ISL_563987,1
EPI_ISL_546239,1
h,1
EPI_ISL_515194,1
EPI_ISL_548763,1
EPI_ISL_469437,1
EPI_ISL_463102,1
EPI_ISL_557075,1
EPI_ISL_495472,1
EPI_ISL_538831,1
EPI_ISL_481280,0
EPI_ISL_462480,1
EPI_ISL_433214,1
EPI_ISL_434115,1
EPI_ISL_423443,0
EPI_ISL_526176,1
EPI_ISL_565312,1
w,1
EPI_ISL_429524,1
EPI_ISL_470764,1
EPI_ISL_441489,0
EPI_ISL_545697,0
EPI_ISL_488565,1
EPI_ISL_465041,1
EPI_ISL_490789,1
EPI_ISL_546230,0
EPI_ISL_540372,1
EPI_ISL_497450,1
EPI_ISL_486088,1
EPI_ISL_429133,1
EPI_ISL_478629,1
EPI_ISL_442764,1
EPI_ISL_426717,1
EPI_ISL_499791,1
EPI_ISL_546065,1
EPI_ISL_469668,1
EPI_ISL_562147,1
EPI_ISL_417679,1
EPI_ISL_456725,1
EPI_ISL_493697,0
EPI_ISL_448989,0
EPI_ISL_449103,1
EPI_ISL_477894,1
EPI_ISL_529365,0
EPI_ISL_545395,0
EPI_ISL_535143,1
EPI_ISL_512098,1
EPI_ISL_441959,1
EPI_ISL_566661,1
EPI_ISL_439414,1
EPI_ISL_474323,1
EPI_ISL_440630,1
EPI_ISL_442832,1
EPI_ISL_496815,0
EPI_ISL_549971,1
EPI_ISL_448500,1
EPI_ISL_440984,1
EPI_ISL_486102,1
EPI_ISL_444553,1
EPI_ISL_488228,1
EPI_ISL_508345,1
EPI_ISL_468478,1
EPI_ISL_415488,1
EPI_ISL_423478,1
EPI_ISL_507257,1
EPI_ISL_542927,1
EPI_ISL_551212,0
EPI_ISL_493175,1
EPI_ISL_454247,1
EPI_ISL_472684,1
EPI_ISL_478564,1
EPI_ISL_424330,1
EPI_ISL_471882,1
EPI_ISL_507831,1
EPI_ISL_540899,1
g,1
EPI_ISL_560196,1
EPI_ISL_519567,1
EPI_ISL_460451,1
EPI_ISL_434660,1
EPI_ISL_524765,1
EPI_ISL_532323,1
EPI_ISL_531389,1
EPI_ISL_531788,1
EPI_ISL_536417,0
EPI_ISL_447365,1
EPI_ISL_469007,1
EPI_ISL_516760,0
EPI_ISL_558186,1
EPI_ISL_443066,1
EPI_ISL_447161,1
EPI_ISL_560020,1
EPI_ISL_544707,1
EPI_ISL_454974,1
EPI_ISL_568383,0
EPI_ISL_479394,1
EPI_ISL_557996,0
EPI_ISL_497192,1
EPI_ISL_516926,1
EPI_ISL_475302,1
EPI_ISL_489082,1
EPI_ISL_510211,1
EPI_ISL_565589,1
EPI_ISL_518182,1
EPI_ISL_501628,0
EPI_ISL_524556,0
EPI_ISL_483187,1
EPI_ISL_500877,1
EPI_ISL_496100,1
EPI_ISL_457620,1
EPI_ISL_547883,1
EPI_ISL_445638,1
EPI_ISL_482319,1
EPI_ISL_483893,0
EPI_ISL_548394,1
h,1
EPI_ISL_454382,0
EPI_ISL_456805,1
EPI_ISL_455934,1
EPI_ISL_469635,1
EPI_ISL_427002,1
EPI_ISL_523480,1
EPI_ISL_555792,1
EPI_ISL_562900,1
EPI_ISL_540368,1
EPI_ISL_562071,1
w,1
EPI_ISL_437093,1
EPI_ISL_552936,1
EPI_ISL_567833,1
EPI_ISL_511576,1
EPI_ISL_559560,1
EPI_ISL_451392,1
